Bénéficiaires,2015,2016,2017,2018,2019,2020,2021,total
LIBERATION,5099910.0,4887544.0,4738019.0,4450177.0,4181332.0,4102802.0,4998785.0,32458569.0
LA CROIX,,4117522.0,4392565.0,4062117.0,4049584.0,4116294.0,4643306.0,25381388.0
L'HUMANITE,3321775.0,,,3310904.0,3305587.0,3508979.0,4599046.0,18046291.0
L'OPINION,,,2305216.0,1885405.0,1827030.0,1881798.0,2050644.0,9950093.0
PRESSE OCEAN,1341811.0,1314152.0,1304342.0,1139140.0,1036031.0,1156699.0,1223485.0,8515660.0
LA REPUBLIQUE DES PYRENEES,997403.0,,1144201.0,1071944.0,1033159.0,1128523.0,1217675.0,6592905.0
LE JOURNAL DE LA HAUTE MARNE,1190406.0,,1072400.0,985389.0,904614.0,985216.0,1212351.0,6350376.0
LE DAUPHINE LIBERE,764415.0,,1449143.0,1262320.0,,1321979.0,1425276.0,6223133.0
LA PRESSE DE LA MANCHE,832802.0,853755.0,918057.0,893307.0,793170.0,865282.0,932543.0,6088916.0
SUD OUEST,1139971.0,634792.0,758271.0,769820.0,,550810.0,2148410.0,6002074.0
OUEST- FRANCE / ouest-france.fr,,5787718.0,,,,,,5787718.0
OUEST France,,,,2983032.0,2601053.0,,,5584085.0
LE MONDE,,,1903249.0,766803.0,597649.0,942820.0,1177135.0,5387656.0
LE FIGARO / lefigaro.fr,2407156.0,,2195972.0,,,,,4603128.0
OUEST-FRANCE / ouest-France.fr,,,4476986.0,,,,,4476986.0
LA CROIX / la-croix.com,4196805.0,,,,,,,4196805.0
LA MONTAGNE,504429.0,453986.0,743969.0,511146.0,486921.0,890644.0,577133.0,4168228.0
LE PARISIEN,959736.0,863762.0,1647488.0,651022.0,,,,4122008.0
L'EQUIPE,1260481.0,,1212716.0,855028.0,666412.0,,,3994637.0
OUEST FRANCE,3989248.0,,,,,,,3989248.0
CENTRE PRESSE AVEYRON,590092.0,568827.0,620018.0,562554.0,488156.0,528315.0,564112.0,3922074.0
L'HUMANITE / humanite.fr,,,3910850.0,,,,,3910850.0
LES DERNIERES NOUVELLES D'ALSACE,381902.0,,1679058.0,1153806.0,,271301.0,292500.0,3778567.0
LA VOIX DU NORD,664515.0,647730.0,508487.0,520462.0,405650.0,445958.0,480805.0,3673607.0
LA PROVENCE,453580.0,359419.0,595323.0,672868.0,260872.0,857907.0,374588.0,3574557.0
LA DEPECHE DU MIDI,821050.0,,1186883.0,429578.0,,368085.0,604297.0,3409893.0
L’HUMANITÉ / humanite.fr,,3399647.0,,,,,,3399647.0
LE COURRIER DE L'OUEST,478725.0,430853.0,984602.0,397432.0,309760.0,431478.0,309056.0,3341906.0
LE MONDE / lemonde.fr,1586963.0,1700074.0,,,,,,3287037.0
LE PROGRES,,,1006833.0,1068865.0,,591114.0,521430.0,3188242.0
LES ECHOS,,245511.0,829782.0,249916.0,238072.0,261728.0,1355714.0,3180723.0
L'EST REPUBLICAIN,877593.0,,710851.0,595302.0,,510085.0,451804.0,3145635.0
LA MARSEILLAISE,693992.0,633074.0,574962.0,486414.0,,386931.0,308774.0,3084147.0
LE PARISIEN / leparisien.fr,,,,,811223.0,639111.0,1623113.0,3073447.0
OUEST-France,,,,,,2781350.0,,2781350.0
LE FIGARO - et suppléments,,,,,,,2698435.0,2698435.0
LA NOUVELLE REPUBLIQUE DU CENTRE OUEST,629993.0,,634740.0,,715953.0,649961.0,,2630647.0
NORD LITTORAL,375246.0,389509.0,410624.0,373088.0,323215.0,352664.0,391440.0,2615786.0
MARIANNE,250628.0,,470861.0,284802.0,290775.0,293804.0,996737.0,2587607.0
LE TELEGRAMME,,,,,,1928080.0,461529.0,2389609.0
OUEST- France,,,,,,,2381323.0,2381323.0
LE MIDI LIBRE,579733.0,,440748.0,369104.0,287681.0,258764.0,278983.0,2215013.0
LE POINT,219387.0,,292951.0,266332.0,,171993.0,1185274.0,2135937.0
LE FIGARO / figaro.fr,,2128974.0,,,,,,2128974.0
LA NOUVELLE REPUBLIQUE DES PYRENEES,348669.0,,364544.0,335916.0,324191.0,353718.0,381900.0,2108938.0
LE FIGARO,,,,811429.0,632432.0,568861.0,,2012722.0
COURRIER INTERNATIONAL,260899.0,311139.0,294944.0,284802.0,,325820.0,467839.0,1945443.0
LE MONDE DIPLOMATIQUE,,352106.0,304023.0,278657.0,284839.0,293804.0,304098.0,1817527.0
FAMILLE CHRETIENNE,250628.0,353460.0,281604.0,284802.0,,293804.0,303143.0,1767441.0
PARIS MATCH,384126.0,,480946.0,464628.0,362134.0,,,1691834.0
VSD,250628.0,300060.0,281604.0,284801.0,290775.0,143685.0,121853.0,1673406.0
PARIS NORMANDIE,88870.0,,127288.0,155028.0,577872.0,369513.0,327579.0,1646150.0
L'ECLAIR PYRENEES,259112.0,,272174.0,251762.0,238819.0,258435.0,276987.0,1557289.0
L'OBS,390418.0,,318225.0,250115.0,194940.0,209159.0,183646.0,1546503.0
LA VIE,250628.0,,350720.0,284802.0,290775.0,293804.0,,1470729.0
MARIANNE / marianne.net,,1454647.0,,,,,,1454647.0
L'ECHO DE LA HAUTE VIENNE,696905.0,,747226.0,,,,,1444131.0
LE MAINE LIBRE,228865.0,205979.0,425694.0,155247.0,121001.0,133024.0,143418.0,1413228.0
