recodage,2015,2016,2017,2018,2019,2020,2021,total
LIBERATION,5099910.0,4887544.0,4738019.0,4450177.0,4181332.0,4102802.0,4998785.0,32458569.0
LA CROIX,4196805.0,4117522.0,4392565.0,4062117.0,4049584.0,4116294.0,4643306.0,29578193.0
L'HUMANITE,3321775.0,3399647.0,3910850.0,3310904.0,3305587.0,3508979.0,4599046.0,25356788.0
OUEST FRANCE,3989248.0,5787718.0,4476986.0,2983032.0,2601053.0,2781350.0,2381323.0,25000710.0
LE FIGARO,2407156.0,2128974.0,2195972.0,811429.0,632432.0,568861.0,2698435.0,11443259.0
L'OPINION,8832.0,268120.0,2305216.0,1885405.0,1827030.0,1881798.0,2050644.0,10227045.0
DAUPHINÉ LIBÉRÉ,764415.0,1170950.0,1449143.0,1262320.0,1402232.0,1321979.0,1425276.0,8796315.0
LE MONDE,1586963.0,1700074.0,1903249.0,766803.0,597649.0,942820.0,1177135.0,8674693.0
PRESSE OCEAN,1341811.0,1314152.0,1304342.0,1139140.0,1036031.0,1156699.0,1223485.0,8515660.0
LA REPUBLIQUE DES PYRENEES,997403.0,1017849.0,1144201.0,1071944.0,1033159.0,1128523.0,1217675.0,7610754.0
LE JOURNAL DE LA HAUTE MARNE,1190406.0,1177318.0,1072400.0,985389.0,904614.0,985216.0,1212351.0,7527694.0
SUD OUEST,1139971.0,634792.0,758271.0,769820.0,1373111.0,550810.0,2148410.0,7375185.0
LE PARISIEN,959736.0,863762.0,1647488.0,651022.0,811223.0,639111.0,1623113.0,7195455.0
LE TELEGRAMME,800454.0,1189901.0,1354251.0,499598.0,838007.0,1928080.0,461529.0,7071820.0
LA PRESSE DE LA MANCHE,832802.0,853755.0,918057.0,893307.0,793170.0,865282.0,932543.0,6088916.0
LE PROGRES,1017003.0,915303.0,1006833.0,1068865.0,823431.0,591114.0,521430.0,5943979.0
L'EQUIPE,1260481.0,0.0,1212716.0,855028.0,666412.0,599426.0,980805.0,5574868.0
LES DERNIERES NOUVELLES D'ALSACE,381902.0,343712.0,1679058.0,1153806.0,435030.0,271301.0,292500.0,4557309.0
L'EST REPUBLICAIN,877593.0,789834.0,710851.0,595302.0,604042.0,510085.0,451804.0,4539511.0
